response_id,user_id,question_id,selected_option,created_at
260,29,1,"Annoyed, Angry, or Bitter",2024-12-03T20:16:40.418841+00:00
261,29,12,A great time,2024-12-03T20:16:46.424554+00:00
262,29,14,Cool ,2024-12-03T20:16:53.691311+00:00
263,29,9,Reference of the past,2024-12-03T20:16:59.312442+00:00
264,29,13,A type of hat,2024-12-03T20:17:09.941235+00:00
265,29,3,To show off or brag,2024-12-03T20:17:13.101441+00:00
266,29,15,Agree or Approve,2024-12-03T20:17:21.471296+00:00
267,29,2,To not respond to,2024-12-03T20:17:31.77866+00:00
268,29,5,Discreet or Private,2024-12-03T20:17:37.809811+00:00
269,29,8,Amazing or Excellent,2024-12-03T20:17:42.336031+00:00
270,29,4,Ruthless,2024-12-03T20:17:48.62466+00:00
271,29,7,Close friends or inner circle,2024-12-03T20:17:52.844403+00:00
272,29,10,Sweet,2024-12-03T20:17:55.509741+00:00
273,29,6,to diss,2024-12-03T20:18:02.632922+00:00
274,30,2,A spirit of a deceased person,2024-12-03T20:18:29.489536+00:00
275,30,10,Sweet,2024-12-03T20:18:32.337061+00:00
276,30,1,Tasting salty,2024-12-03T20:18:38.844718+00:00
277,30,6,in a shadow,2024-12-03T20:18:42.33484+00:00
278,30,4,Ruthless,2024-12-03T20:18:50.152891+00:00
279,30,7,General term of endearment,2024-12-03T20:18:53.716793+00:00
280,30,14,Drugs,2024-12-03T20:19:07.375486+00:00
281,30,3,Flex muscles,2024-12-03T20:19:13.332842+00:00
282,30,8,Removal from employment,2024-12-03T20:19:16.489735+00:00
283,30,9,Reference of the past,2024-12-03T20:19:19.035113+00:00
284,30,12,Start a flame,2024-12-03T20:19:22.281899+00:00
285,30,5,Subdued or Understated,2024-12-03T20:19:27.898421+00:00
286,30,15,Gamble,2024-12-03T20:19:32.302805+00:00
287,30,13,A type of hat,2024-12-03T20:19:36.342895+00:00
288,31,15,Agree or Approve,2024-12-03T20:20:24.668585+00:00
289,31,5,Discreet or Private,2024-12-03T20:20:28.764118+00:00
290,31,7,Close friends or inner circle,2024-12-03T20:20:32.947443+00:00
291,31,12,To get drunk or high,2024-12-03T20:20:36.299456+00:00
292,31,3,To show off or brag,2024-12-03T20:20:40.313971+00:00
293,31,10,Sweet,2024-12-03T20:20:42.835169+00:00
294,31,8,Amazing or Excellent,2024-12-03T20:20:48.71671+00:00
295,31,9,What you do at the club,2024-12-03T20:20:57.022292+00:00
296,31,14,Cool ,2024-12-03T20:21:01.840185+00:00
297,31,6,to diss,2024-12-03T20:21:07.12834+00:00
298,31,1,"Annoyed, Angry, or Bitter",2024-12-03T20:21:10.155236+00:00
299,31,13,A type of hat,2024-12-03T20:21:12.859141+00:00
300,31,4,Ruthless,2024-12-03T20:21:21.00567+00:00
301,31,2,To not respond to,2024-12-03T20:21:24.956213+00:00
302,32,5,I dont't know,2024-12-03T20:24:21.766222+00:00
303,32,3,Flex muscles,2024-12-03T20:24:27.86336+00:00
304,32,12,To get drunk or high,2024-12-03T20:24:30.695018+00:00
305,32,7,My Nuclear Family,2024-12-03T20:24:35.183779+00:00
306,32,2,To not respond to,2024-12-03T20:24:43.029203+00:00
307,32,15,Agree or Approve,2024-12-03T20:24:50.174252+00:00
308,32,13,A type of hat,2024-12-03T20:24:57.449374+00:00
309,32,8,Removal from employment,2024-12-03T20:25:07.145218+00:00
310,32,9,What you do at the club,2024-12-03T20:25:10.781853+00:00
311,32,10,Sweet,2024-12-03T20:25:13.353673+00:00
312,32,1,Tasting salty,2024-12-03T20:25:16.610278+00:00
313,32,6,A window covering,2024-12-03T20:25:25.363106+00:00
314,32,4,Wild or Untamed,2024-12-03T20:25:31.809981+00:00
315,32,14,Drugs,2024-12-03T20:25:35.16268+00:00
316,33,1,Tasting salty,2024-12-03T20:25:43.583119+00:00
317,33,6,in a shadow,2024-12-03T20:25:49.057368+00:00
318,33,2,A spirit of a deceased person,2024-12-03T20:26:00.864814+00:00
319,33,3,Flex muscles,2024-12-03T20:26:05.975151+00:00
320,33,4,Wild or Untamed,2024-12-03T20:26:11.635729+00:00
321,33,8,Removal from employment,2024-12-03T20:26:16.520241+00:00
322,33,5,Discreet or Private,2024-12-03T20:26:33.144309+00:00
323,33,7,My Nuclear Family,2024-12-03T20:26:38.841806+00:00
324,33,12,Start a flame,2024-12-03T20:26:46.360029+00:00
325,33,9,Reference of the past,2024-12-03T20:27:01.530899+00:00
326,33,14,One that is foolish or clueless,2024-12-03T20:27:05.380607+00:00
327,33,13,A bullet,2024-12-03T20:27:12.930961+00:00
328,33,15,Gamble,2024-12-03T20:27:17.764169+00:00
329,33,10,Sweet,2024-12-03T20:27:20.494605+00:00
330,34,8,Amazing or Excellent,2024-12-03T20:27:32.808797+00:00
331,34,6,to diss,2024-12-03T20:27:36.273761+00:00
332,34,3,To show off or brag,2024-12-03T20:27:41.11192+00:00
333,34,10,Sweet,2024-12-03T20:27:43.658078+00:00
334,34,12,A great time,2024-12-03T20:27:47.407401+00:00
335,34,9,Reference of the past,2024-12-03T20:27:52.391192+00:00
336,34,13,A type of hat,2024-12-03T20:27:56.660841+00:00
337,35,2,A faint remnant or memory of something,2024-12-03T20:28:00.403044+00:00
338,35,1,Experienced or Tough,2024-12-03T20:28:04.125321+00:00
339,35,6,A window covering,2024-12-03T20:28:13.22877+00:00
340,34,15,Agree or Approve,2024-12-03T20:28:14.182667+00:00
341,35,3,To show off or brag,2024-12-03T20:28:16.639236+00:00
342,34,1,"Annoyed, Angry, or Bitter",2024-12-03T20:28:17.383662+00:00
343,35,7,Close friends or inner circle,2024-12-03T20:28:20.214661+00:00
344,34,7,Close friends or inner circle,2024-12-03T20:28:21.847794+00:00
345,35,4,Impressive or Cool,2024-12-03T20:28:26.419444+00:00
346,35,8,Amazing or Excellent,2024-12-03T20:28:30.026853+00:00
347,34,2,To not respond to,2024-12-03T20:28:31.3582+00:00
348,34,5,Discreet or Private,2024-12-03T20:28:34.455149+00:00
349,34,4,Wild or Untamed,2024-12-03T20:28:41.940767+00:00
350,34,14,Cool ,2024-12-03T20:28:45.19655+00:00
351,35,5,Subdued or Understated,2024-12-03T20:28:46.099088+00:00
352,35,15,Challenge or Dare,2024-12-03T20:28:50.16573+00:00
353,35,9,Reference of the past,2024-12-03T20:28:53.525781+00:00
354,35,12,To get drunk or high,2024-12-03T20:28:57.386962+00:00
355,35,10,Sweet,2024-12-03T20:29:00.554649+00:00
356,35,13,Not factual or incorrect,2024-12-03T20:29:10.938626+00:00
357,35,14,Drugs,2024-12-03T20:29:13.970681+00:00
358,36,5,Subdued or Understated,2024-12-05T00:57:22.927149+00:00
359,36,9,Reference of the past,2024-12-05T00:57:26.698649+00:00
360,36,2,To not respond to,2024-12-05T00:57:33.293242+00:00
361,36,13,Not factual or incorrect,2024-12-05T00:58:30.096072+00:00
362,36,7,Close friends or inner circle,2024-12-05T00:58:33.408827+00:00
363,36,3,To show off or brag,2024-12-05T00:58:39.796976+00:00
364,36,8,Amazing or Excellent,2024-12-05T00:58:43.42465+00:00
365,36,14,Cool ,2024-12-05T00:58:48.974815+00:00
366,36,4,Impressive or Cool,2024-12-05T00:58:54.953761+00:00
367,36,12,A great time,2024-12-05T00:58:58.867677+00:00
368,36,6,A window covering,2024-12-05T00:59:02.010189+00:00
369,36,1,"Annoyed, Angry, or Bitter",2024-12-05T00:59:08.230799+00:00
370,36,15,Agree or Approve,2024-12-05T00:59:11.643571+00:00
371,36,10,Sweet,2024-12-05T00:59:16.540387+00:00
372,37,10,Sweet,2024-12-05T01:02:29.175589+00:00
373,37,3,Flex muscles,2024-12-05T01:02:30.849271+00:00
374,37,13,A type of hat,2024-12-05T01:02:32.439522+00:00
375,37,8,I dont't know,2024-12-05T01:02:33.754031+00:00
376,37,1,I don't know,2024-12-05T01:02:34.953503+00:00
377,37,7,My Nuclear Family,2024-12-05T01:02:36.781984+00:00
378,37,14,I don't know,2024-12-05T01:02:38.644048+00:00
379,37,9,Reference of the past,2024-12-05T01:02:41.017591+00:00
380,37,5,Discreet or Private,2024-12-05T01:02:42.571512+00:00
381,37,4,I dont't know,2024-12-05T01:02:44.09055+00:00
382,37,6,I dont't know,2024-12-05T01:02:45.713607+00:00
383,37,2,A faint remnant or memory of something,2024-12-05T01:02:47.463305+00:00
384,37,12,A great time,2024-12-05T01:02:48.822855+00:00
385,37,15,Gamble,2024-12-05T01:02:50.547192+00:00
386,43,2,A faint remnant or memory of something,2024-12-05T02:36:31.828757+00:00
387,43,9,Reference of the past,2024-12-05T02:36:50.257852+00:00
388,43,14,Cool ,2024-12-05T02:36:57.394083+00:00
389,43,7,General term of endearment,2024-12-05T02:37:02.519725+00:00
390,43,1,"Annoyed, Angry, or Bitter",2024-12-05T02:37:05.521304+00:00
391,43,5,Subdued or Understated,2024-12-05T02:37:08.400221+00:00
392,43,15,Agree or Approve,2024-12-05T02:37:11.934918+00:00
393,43,6,to diss,2024-12-05T02:37:16.248009+00:00
394,43,4,Impressive or Cool,2024-12-05T02:37:18.435899+00:00
395,43,12,A great time,2024-12-05T02:37:21.518238+00:00
396,43,3,To show off or brag,2024-12-05T02:37:25.928166+00:00
397,43,13,Not factual or incorrect,2024-12-05T02:37:30.066668+00:00
398,43,10,Sweet,2024-12-05T02:37:33.581944+00:00
399,43,8,Amazing or Excellent,2024-12-05T02:37:38.048396+00:00
400,44,3,To show off or brag,2024-12-05T02:38:19.330009+00:00
401,44,13,Not factual or incorrect,2024-12-05T02:38:21.281032+00:00
402,44,15,Agree or Approve,2024-12-05T02:38:23.56897+00:00
403,44,2,To not respond to,2024-12-05T02:38:27.553466+00:00
404,44,7,General term of endearment,2024-12-05T02:38:29.687579+00:00
405,44,9,Reference of the past,2024-12-05T02:38:45.924566+00:00
406,44,5,I dropped my key,2024-12-05T02:38:48.107213+00:00
407,44,1,"Annoyed, Angry, or Bitter",2024-12-05T02:38:51.652932+00:00
408,44,10,Sweet,2024-12-05T02:38:55.099357+00:00
409,44,4,Impressive or Cool,2024-12-05T02:38:58.395742+00:00
410,44,14,I don't know,2024-12-05T02:39:01.69398+00:00
411,44,12,A great time,2024-12-05T02:39:04.357082+00:00
412,44,6,A window covering,2024-12-05T02:39:08.174413+00:00
413,44,8,Amazing or Excellent,2024-12-05T02:39:12.387976+00:00
414,45,3,To show off or brag,2024-12-05T02:39:26.484735+00:00
415,45,10,Sweet,2024-12-05T02:39:28.88439+00:00
416,45,15,Agree or Approve,2024-12-05T02:39:32.595484+00:00
417,45,8,Amazing or Excellent,2024-12-05T02:42:45.164534+00:00
418,45,2,To not respond to,2024-12-05T02:42:47.518011+00:00
419,45,12,I don't know,2024-12-05T02:42:50.48194+00:00
420,45,5,Discreet or Private,2024-12-05T02:42:53.323794+00:00
421,45,13,A bullet,2024-12-05T02:42:56.409017+00:00
422,45,4,Wild or Untamed,2024-12-05T02:43:00.775653+00:00
423,45,9,What you do at the club,2024-12-05T02:43:03.879226+00:00
424,45,7,My Nuclear Family,2024-12-05T02:43:11.930463+00:00
425,45,1,Tasting salty,2024-12-05T02:43:14.944944+00:00
426,45,14,Cool ,2024-12-05T02:43:18.346713+00:00
427,45,6,to diss,2024-12-05T02:43:22.676905+00:00
428,46,12,A great time,2024-12-05T02:43:40.225219+00:00
429,47,1,"Annoyed, Angry, or Bitter",2024-12-05T02:44:31.448662+00:00
430,47,6,to diss,2024-12-05T02:44:34.357488+00:00
431,47,9,Reference of the past,2024-12-05T02:44:42.039676+00:00
432,47,14,Cool ,2024-12-05T02:44:45.100701+00:00
433,47,2,A faint remnant or memory of something,2024-12-05T02:44:52.493895+00:00
434,47,3,To show off or brag,2024-12-05T02:44:56.203487+00:00
435,47,4,Ruthless,2024-12-05T02:44:59.673751+00:00
436,47,7,General term of endearment,2024-12-05T02:45:03.751586+00:00
437,47,15,Agree or Approve,2024-12-05T02:45:06.666335+00:00
438,47,8,Amazing or Excellent,2024-12-05T02:45:32.706341+00:00
439,47,5,Subdued or Understated,2024-12-05T02:45:41.564544+00:00
440,47,10,Sweet,2024-12-05T02:45:44.141975+00:00
441,47,13,Not factual or incorrect,2024-12-05T02:45:48.822454+00:00
442,47,12,To get drunk or high,2024-12-05T02:45:54.575925+00:00
443,48,3,To show off or brag,2024-12-05T02:47:54.10872+00:00
444,48,8,Amazing or Excellent,2024-12-05T02:47:57.398974+00:00
445,48,5,Discreet or Private,2024-12-05T02:48:00.010383+00:00
446,48,6,to diss,2024-12-05T02:48:03.717367+00:00
447,48,14,One that is foolish or clueless,2024-12-05T02:48:06.246611+00:00
448,48,12,To get drunk or high,2024-12-05T02:48:11.153211+00:00
449,48,4,Impressive or Cool,2024-12-05T02:48:18.09285+00:00
450,48,1,"Annoyed, Angry, or Bitter",2024-12-05T02:48:22.407973+00:00
451,48,15,Agree or Approve,2024-12-05T02:48:25.090398+00:00
452,48,9,Reference of the past,2024-12-05T02:48:32.897106+00:00
453,48,10,Sweet,2024-12-05T02:48:46.694173+00:00
454,48,13,Not factual or incorrect,2024-12-05T02:48:49.673748+00:00
455,48,2,To not respond to,2024-12-05T02:49:06.029159+00:00
456,48,7,General term of endearment,2024-12-05T02:49:11.914627+00:00
457,49,10,Sweet,2024-12-05T02:49:25.490275+00:00
458,49,7,General term of endearment,2024-12-05T02:49:28.528057+00:00
459,49,8,Amazing or Excellent,2024-12-05T02:49:31.23611+00:00
460,49,5,Discreet or Private,2024-12-05T02:49:45.367105+00:00
461,49,12,A great time,2024-12-05T02:49:51.944567+00:00
462,49,4,Impressive or Cool,2024-12-05T02:49:56.175453+00:00
463,49,14,Cool ,2024-12-05T02:50:00.056717+00:00
464,49,13,Not factual or incorrect,2024-12-05T02:50:04.324075+00:00
465,49,15,Agree or Approve,2024-12-05T02:50:07.366665+00:00
466,49,3,To show off or brag,2024-12-05T02:50:10.372928+00:00
467,49,2,To not respond to,2024-12-05T02:50:16.16867+00:00
468,49,9,Reference of the past,2024-12-05T02:50:20.215378+00:00
469,49,1,"Annoyed, Angry, or Bitter",2024-12-05T02:50:29.36341+00:00
470,49,6,to diss,2024-12-05T02:50:34.39664+00:00
471,50,5,Subdued or Understated,2024-12-05T02:50:48.325119+00:00
472,50,8,Amazing or Excellent,2024-12-05T02:50:51.687279+00:00
473,50,10,Sweet,2024-12-05T02:50:57.602613+00:00
474,51,3,To show off or brag,2024-12-05T02:52:09.718301+00:00
475,51,1,"Annoyed, Angry, or Bitter",2024-12-05T02:52:12.449836+00:00
476,51,5,Subdued or Understated,2024-12-05T02:52:15.271963+00:00
477,51,6,to diss,2024-12-05T02:52:17.891472+00:00
478,51,7,General term of endearment,2024-12-05T02:52:20.934343+00:00
479,51,9,Reference of the past,2024-12-05T02:52:23.322793+00:00
480,51,12,To get drunk or high,2024-12-05T02:52:26.2109+00:00
481,51,8,Amazing or Excellent,2024-12-05T02:52:30.971504+00:00
482,51,4,Impressive or Cool,2024-12-05T02:52:33.074196+00:00
483,51,10,Sweet,2024-12-05T02:52:35.639363+00:00
484,51,13,A bullet,2024-12-05T02:52:39.918456+00:00
485,51,2,A spirit of a deceased person,2024-12-05T02:52:43.333783+00:00
486,51,14,Drugs,2024-12-05T02:52:45.986224+00:00
487,51,15,Agree or Approve,2024-12-05T02:52:51.206048+00:00
488,52,5,Discreet or Private,2024-12-05T02:53:35.998498+00:00
489,52,6,to diss,2024-12-05T02:53:39.447718+00:00
490,52,13,Not factual or incorrect,2024-12-05T02:53:42.460055+00:00
491,52,14,Cool ,2024-12-05T02:53:45.603815+00:00
492,52,12,To get drunk or high,2024-12-05T02:53:48.522686+00:00
493,52,8,Combustion or flames,2024-12-05T02:53:51.162231+00:00
494,52,15,Agree or Approve,2024-12-05T02:53:53.805365+00:00
495,52,10,Sweet,2024-12-05T02:53:56.911305+00:00
496,52,1,"Annoyed, Angry, or Bitter",2024-12-05T02:54:00.495787+00:00
497,52,9,Reference of the past,2024-12-05T02:54:03.517313+00:00
498,52,7,Close friends or inner circle,2024-12-05T02:54:07.25042+00:00
499,52,3,To show off or brag,2024-12-05T02:54:09.722144+00:00
500,52,2,To not respond to,2024-12-05T02:54:17.350856+00:00
501,52,4,Impressive or Cool,2024-12-05T02:54:20.004238+00:00
502,53,9,Reference of the past,2024-12-05T02:55:02.587974+00:00
503,53,15,Agree or Approve,2024-12-05T02:56:04.982895+00:00
504,53,13,Not factual or incorrect,2024-12-05T02:56:07.318706+00:00
505,53,5,Subdued or Understated,2024-12-05T02:56:10.803257+00:00
506,53,4,Impressive or Cool,2024-12-05T02:56:13.885888+00:00
507,53,7,General term of endearment,2024-12-05T02:56:15.969827+00:00
508,53,3,To show off or brag,2024-12-05T02:56:18.979768+00:00
509,53,8,Amazing or Excellent,2024-12-05T02:56:22.82275+00:00
510,53,2,To not respond to,2024-12-05T02:56:25.305245+00:00
511,53,14,Cool ,2024-12-05T02:56:28.178986+00:00
512,53,1,"Annoyed, Angry, or Bitter",2024-12-05T02:56:30.782409+00:00
513,53,6,to diss,2024-12-05T02:56:33.673872+00:00
514,53,12,A great time,2024-12-05T02:56:37.612341+00:00
515,53,10,Sweet,2024-12-05T02:56:39.981208+00:00
516,54,12,A great time,2024-12-05T18:09:50.83663+00:00
517,54,9,Reference of the past,2024-12-05T18:09:59.393491+00:00
518,54,15,Gamble,2024-12-05T18:10:03.155599+00:00
519,54,5,Subdued or Understated,2024-12-05T18:10:09.54809+00:00
520,54,4,Wild or Untamed,2024-12-05T18:10:16.007347+00:00
521,54,2,To not respond to,2024-12-05T18:10:19.721071+00:00
522,54,7,Close friends or inner circle,2024-12-05T18:10:30.084523+00:00
523,54,6,to diss,2024-12-05T18:10:44.487345+00:00
524,54,1,"Annoyed, Angry, or Bitter",2024-12-05T18:10:48.373377+00:00
525,54,10,Sweet,2024-12-05T18:10:53.561152+00:00
526,54,3,To show off or brag,2024-12-05T18:10:56.826787+00:00
527,54,14,Cool ,2024-12-05T18:11:13.50761+00:00
528,54,8,Amazing or Excellent,2024-12-05T18:11:17.877789+00:00
529,54,13,Not factual or incorrect,2024-12-05T18:11:23.318794+00:00
530,55,4,Wild or Untamed,2024-12-05T18:53:24.456805+00:00
531,55,7,I dont't know,2024-12-05T18:53:34.754359+00:00
532,55,5,Subdued or Understated,2024-12-05T18:53:45.430574+00:00
533,55,8,Removal from employment,2024-12-05T18:53:50.811091+00:00
534,55,6,in a shadow,2024-12-05T18:53:55.371981+00:00
535,55,1,Tasting salty,2024-12-05T18:53:59.773003+00:00
536,55,2,A spirit of a deceased person,2024-12-05T18:54:08.166554+00:00
537,55,3,Flex muscles,2024-12-05T18:54:24.778852+00:00
538,55,13,A type of hat,2024-12-05T18:54:28.147513+00:00
539,55,15,Gamble,2024-12-05T18:54:35.748686+00:00
540,55,10,Sweet,2024-12-05T18:54:38.660935+00:00
541,55,9,Reference of the past,2024-12-05T18:54:46.906562+00:00
542,55,14,Drugs,2024-12-05T18:54:51.831273+00:00
543,55,12,Start a flame,2024-12-05T18:54:57.125561+00:00
544,56,10,Sweet,2024-12-05T18:56:13.858443+00:00
545,56,14,One that is foolish or clueless,2024-12-05T18:56:18.072215+00:00
546,56,15,Challenge or Dare,2024-12-05T18:56:24.098247+00:00
547,56,6,A window covering,2024-12-05T18:56:28.259947+00:00
548,56,9,Reference of the past,2024-12-05T18:56:35.055305+00:00
549,56,1,Tasting salty,2024-12-05T18:56:57.071446+00:00
550,56,13,A type of hat,2024-12-05T18:57:48.278989+00:00
551,56,12,I don't know,2024-12-05T18:57:57.342325+00:00
552,56,2,A spirit of a deceased person,2024-12-05T18:58:04.099479+00:00
553,56,3,Flex muscles,2024-12-05T18:58:07.18561+00:00
554,56,5,I dont't know,2024-12-05T18:58:19.555747+00:00
555,56,4,Wild or Untamed,2024-12-05T18:58:28.490326+00:00
556,56,7,My Nuclear Family,2024-12-05T18:58:34.677681+00:00
557,56,8,Combustion or flames,2024-12-05T18:58:43.459347+00:00
558,58,4,Impressive or Cool,2024-12-05T19:09:00.804689+00:00
559,58,3,To show off or brag,2024-12-05T19:09:06.944053+00:00
560,58,2,To not respond to,2024-12-05T19:09:14.305943+00:00
561,58,8,Combustion or flames,2024-12-05T19:09:18.934272+00:00
562,58,1,"Annoyed, Angry, or Bitter",2024-12-05T19:09:22.406165+00:00
563,58,6,to diss,2024-12-05T19:09:26.501688+00:00
564,59,1,"Annoyed, Angry, or Bitter",2024-12-05T19:09:28.426193+00:00
565,58,9,What you do at the club,2024-12-05T19:09:29.436221+00:00
566,59,4,Ruthless,2024-12-05T19:09:31.735195+00:00
567,59,5,Discreet or Private,2024-12-05T19:09:35.956557+00:00
568,58,5,Discreet or Private,2024-12-05T19:09:37.991816+00:00
569,59,7,Close friends or inner circle,2024-12-05T19:09:38.763628+00:00
570,58,10,Sweet,2024-12-05T19:09:40.819457+00:00
571,59,9,Reference of the past,2024-12-05T19:09:43.211078+00:00
572,59,13,Not factual or incorrect,2024-12-05T19:09:47.111284+00:00
573,58,15,Agree or Approve,2024-12-05T19:09:48.153715+00:00
574,59,12,A great time,2024-12-05T19:09:51.735235+00:00
575,58,14,Drugs,2024-12-05T19:09:52.133893+00:00
576,58,13,A type of hat,2024-12-05T19:09:55.360053+00:00
577,58,12,To get drunk or high,2024-12-05T19:09:59.182215+00:00
578,59,3,To show off or brag,2024-12-05T19:10:01.888584+00:00
579,58,7,Close friends or inner circle,2024-12-05T19:10:03.287311+00:00
580,59,14,Cool ,2024-12-05T19:10:06.236239+00:00
581,59,6,to diss,2024-12-05T19:10:10.80814+00:00
582,59,8,Amazing or Excellent,2024-12-05T19:10:15.520537+00:00
583,59,15,Agree or Approve,2024-12-05T19:10:19.289213+00:00
584,59,10,Sweet,2024-12-05T19:10:21.63535+00:00
585,59,2,To not respond to,2024-12-05T19:10:26.249475+00:00
586,60,6,in a shadow,2024-12-05T19:10:59.919086+00:00
587,60,1,"Annoyed, Angry, or Bitter",2024-12-05T19:11:02.898354+00:00
588,60,2,To not respond to,2024-12-05T19:11:06.908261+00:00
589,60,7,Close friends or inner circle,2024-12-05T19:11:12.015081+00:00
590,60,5,Discreet or Private,2024-12-05T19:11:15.243154+00:00
591,60,4,Ruthless,2024-12-05T19:11:21.737061+00:00
592,60,3,Flex muscles,2024-12-05T19:11:25.375325+00:00
593,60,8,Amazing or Excellent,2024-12-05T19:13:08.459436+00:00
594,60,10,Sweet,2024-12-05T19:13:10.849628+00:00
595,60,15,Gamble,2024-12-05T19:13:12.911284+00:00
596,60,12,A great time,2024-12-05T19:13:17.076735+00:00
597,60,9,What you do at the club,2024-12-05T19:13:22.905087+00:00
598,60,13,Not factual or incorrect,2024-12-05T19:13:28.539006+00:00
599,60,14,Cool ,2024-12-05T19:13:34.942094+00:00
600,61,1,"Annoyed, Angry, or Bitter",2024-12-05T19:15:04.843246+00:00
601,61,6,to diss,2024-12-05T19:15:07.438001+00:00
602,61,2,A spirit of a deceased person,2024-12-05T19:15:23.103634+00:00
603,61,12,To get drunk or high,2024-12-05T19:15:27.159833+00:00
604,61,15,Agree or Approve,2024-12-05T19:15:30.971168+00:00
605,61,3,To show off or brag,2024-12-05T19:15:34.350548+00:00
606,61,9,Reference of the past,2024-12-05T19:15:37.830006+00:00
607,61,10,Sweet,2024-12-05T19:15:44.31141+00:00
608,61,4,Ruthless,2024-12-05T19:15:50.382149+00:00
609,61,5,Subdued or Understated,2024-12-05T19:15:55.726785+00:00
610,61,14,Cool ,2024-12-05T19:15:59.555463+00:00
611,61,7,Close friends or inner circle,2024-12-05T19:16:02.721925+00:00
612,61,8,Amazing or Excellent,2024-12-05T19:16:06.30545+00:00
613,61,13,Not factual or incorrect,2024-12-05T19:16:09.858606+00:00
614,63,6,to diss,2024-12-05T19:34:16.03975+00:00
615,63,13,Not factual or incorrect,2024-12-05T19:34:26.23089+00:00
616,63,8,Amazing or Excellent,2024-12-05T19:34:31.53523+00:00
617,63,5,Discreet or Private,2024-12-05T19:34:36.229767+00:00
618,63,10,Sweet,2024-12-05T19:34:38.708294+00:00
619,63,4,Ruthless,2024-12-05T19:34:42.361988+00:00
620,63,12,Start a flame,2024-12-05T19:34:46.226295+00:00
621,63,15,Agree or Approve,2024-12-05T19:34:49.653981+00:00
622,63,14,Drugs,2024-12-05T19:34:52.12358+00:00
623,63,3,To show off or brag,2024-12-05T19:34:55.724491+00:00
624,63,1,"Annoyed, Angry, or Bitter",2024-12-05T19:34:58.773386+00:00
625,63,7,Close friends or inner circle,2024-12-05T19:35:02.952519+00:00
626,63,9,Reference of the past,2024-12-05T19:35:08.311157+00:00
627,63,2,To not respond to,2024-12-05T19:35:11.682531+00:00
628,64,3,To show off or brag,2024-12-05T20:09:36.034851+00:00
629,64,4,Ruthless,2024-12-05T20:09:40.989217+00:00
630,64,14,Cool ,2024-12-05T20:09:50.440543+00:00
